ダウンロードした時刻：2026/04/21 11:14:50

,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),平均風速(m/s),平均風速(m/s),平均風速(m/s)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1967/4/29,18.9,8,1,24.1,8,1,13.6,8,1,晴,8,1,降水なし,8,1,0.2,0,8,1,0.1,0,8,1,10.3,0,8,1,26.1,8,1,1.7,8,1
1967/4/30,23.8,8,1,27.8,8,1,15.9,8,1,曇,8,1,降水なし,8,1,0.0,0,8,1,0.0,0,8,1,3.1,0,8,1,10.1,8,1,3.1,8,1
1967/5/1,20.6,8,1,24.9,8,1,15.5,8,1,曇時々雨,8,1,霧　降水なし,8,1,2.1,0,8,1,1.7,0,8,1,0.7,0,8,1,7.1,8,1,3.0,8,1
1967/5/2,17.8,8,1,23.4,8,1,13.5,8,1,晴,8,1,降水なし,8,1,0,1,8,1,0,1,8,1,9.9,0,8,1,22.5,8,1,1.7,8,1
1967/5/3,17.3,8,1,25.0,8,1,10.6,8,1,晴,8,1,降水なし,8,1,0,1,8,1,0,1,8,1,11.9,0,8,1,27.0,8,1,2.8,8,1
1967/5/4,16.3,8,1,22.2,8,1,9.3,8,1,晴,8,1,降水なし,8,1,0,1,8,1,0,1,8,1,11.3,0,8,1,23.8,8,1,2.0,8,1
1967/5/5,18.3,8,1,23.0,8,1,12.1,8,1,曇,8,1,時々雨,8,1,0.0,0,8,1,0.0,0,8,1,2.2,0,8,1,11.3,8,1,1.1,8,1
